"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1828.74";"1620.71";"1283.85";"641.925";"-211.997";"-914.368";"380.394";"1.55579e-307";
"-1825.34";"1622.59";"1261.71";"630.855";"-211.192";"-912.669";"379.295";"1.55579e-307";
"-1822.13";"1625.04";"1242.53";"621.267";"-210.307";"-911.063";"378.201";"1.55579e-307";
"-1817.54";"1627.14";"1218.92";"609.461";"-209.35";"-908.768";"377.114";"1.55579e-307";
"-1813.9";"1628.59";"1199.05";"599.526";"-208.3";"-906.951";"376.033";"1.55579e-307";
"-1806.59";"1629.11";"1173.08";"586.541";"-207.173";"-903.295";"374.977";"1.55579e-307";
"-1800.75";"1629.03";"1152.44";"576.22";"-205.939";"-900.374";"373.921";"1.55579e-307";
"-1793.59";"1629.84";"1132.02";"566.01";"-204.623";"-896.793";"372.889";"1.55579e-307";
"-1783.52";"1630.62";"1106.48";"553.238";"-203.222";"-891.759";"371.865";"1.55579e-307";
"-1774.08";"1630.97";"1085.7";"542.85";"-201.713";"-887.04";"370.844";"1.55579e-307";
"-1760.7";"1632.17";"1061.06";"530.528";"-200.118";"-880.352";"369.822";"1.55579e-307";
"-1748.43";"1632.78";"1041.46";"520.73";"-198.417";"-874.214";"368.781";"1.55579e-307";
"-1732.23";"1632.81";"1016.53";"508.263";"-196.636";"-866.113";"367.734";"1.55579e-307";
"-1717.33";"1631.78";"997.649";"498.825";"-194.747";"-858.666";"366.635";"1.55579e-307";
"-1696.74";"1629.98";"974.778";"487.389";"-192.779";"-848.37";"365.504";"1.55579e-307";
"-1678.97";"1627.98";"957.598";"478.799";"-190.711";"-839.483";"364.293";"1.55579e-307";
"-1654.1";"1625.1";"936.97";"468.485";"-188.571";"-827.048";"363.014";"1.55579e-307";
"-1632.88";"1623.27";"921.502";"460.751";"-186.342";"-816.439";"361.63";"1.55579e-307";
"-1604.23";"1621.48";"903.412";"451.706";"-184.049";"-802.116";"360.15";"1.55579e-307";
"-1579.68";"1620.24";"889.947";"444.973";"-181.681";"-789.838";"358.53";"1.55579e-307";
"-1554.2";"1619.68";"877.411";"438.705";"-179.26";"-777.098";"356.787";"1.55579e-307";
"-1527.98";"1618.61";"865.208";"432.604";"-176.795";"-763.992";"354.915";"1.55579e-307";
"-1492.82";"1617.18";"851.754";"425.877";"-174.287";"-746.408";"352.903";"1.55579e-307";
"-1464.44";"1616.04";"841.796";"420.898";"-171.739";"-732.218";"350.7";"1.55579e-307";
"-1434.85";"1615.43";"832.145";"416.072";"-169.166";"-717.425";"348.344";"1.55579e-307";
"-1397.42";"1614.54";"820.856";"410.428";"-166.58";"-698.709";"345.827";"1.55579e-307";
"-1367.02";"1614.26";"812.204";"406.102";"-163.974";"-683.512";"343.101";"1.55579e-307";
"-1328.77";"1614.37";"801.664";"400.832";"-161.369";"-664.384";"340.208";"1.55579e-307";
"-1297.82";"1613.99";"793.575";"396.787";"-158.76";"-648.908";"337.093";"1.55579e-307";
"-1267.34";"1614.52";"785.567";"392.784";"-156.176";"-633.671";"333.804";"1.55579e-307";
"-1228.84";"1614.06";"775.096";"387.548";"-153.608";"-614.419";"330.338";"1.55579e-307";
"-1198.47";"1614.66";"766.948";"383.474";"-151.066";"-599.237";"326.657";"1.55579e-307";
"-1168.84";"1615.34";"758.598";"379.299";"-148.553";"-584.418";"322.804";"1.55579e-307";
"-1138.94";"1616.16";"749.78";"374.89";"-146.089";"-569.47";"318.789";"1.55579e-307";
"-1102.76";"1617.05";"738.331";"369.165";"-143.661";"-551.38";"314.609";"1.55579e-307";
"-1074.01";"1617.74";"729.017";"364.509";"-141.282";"-537.003";"310.229";"1.55579e-307";
"-1039.67";"1619.01";"716.353";"358.176";"-138.948";"-519.836";"305.695";"1.55579e-307";
"-1012.91";"1620.61";"705.884";"352.942";"-136.663";"-506.455";"300.981";"1.55579e-307";
"-987.137";"1622.22";"694.927";"347.464";"-134.422";"-493.568";"296.127";"1.55579e-307";
"-955.919";"1624.62";"680.847";"340.423";"-132.248";"-477.96";"291.16";"1.55579e-307";
"-932.184";"1626.49";"668.9";"334.45";"-130.105";"-466.092";"286.04";"1.55579e-307";
"-904.069";"1629.35";"653.774";"326.887";"-128";"-452.034";"280.819";"1.55579e-307";
"-882.649";"1631.45";"641.093";"320.547";"-125.942";"-441.325";"275.489";"1.55579e-307";
"-857.371";"1634.52";"624.695";"312.348";"-123.921";"-428.685";"270.087";"1.55579e-307";
"-838.492";"1637.04";"611.493";"305.746";"-121.938";"-419.246";"264.612";"1.55579e-307";
"-816.142";"1640.27";"593.423";"296.712";"-119.983";"-408.071";"259.097";"1.55579e-307";
"-800.322";"1643.15";"579.115";"289.558";"-118.06";"-400.161";"253.545";"1.55579e-307";
"-785.682";"1645.93";"564.294";"282.147";"-116.158";"-392.841";"247.988";"1.55579e-307";
"-771.94";"1648.5";"548.935";"274.467";"-114.292";"-385.97";"242.466";"1.55579e-307";
"-759.554";"1650.27";"533.144";"266.572";"-112.434";"-379.777";"236.969";"1.55579e-307";
"-748.234";"1651.82";"517.219";"258.61";"-110.599";"-374.117";"231.547";"1.55579e-307";
"-735.388";"1653.31";"496.729";"248.365";"-108.761";"-367.694";"226.186";"1.55579e-307";
"-726.889";"1654.91";"480.124";"240.062";"-106.912";"-363.445";"220.92";"1.55579e-307";
"-719.727";"1656.59";"463.429";"231.714";"-105.05";"-359.864";"215.752";"1.55579e-307";
"-713.3";"1657.93";"446.584";"223.292";"-103.168";"-356.65";"210.694";"1.55579e-307";
"-707.418";"1659.9";"425.182";"212.591";"-101.265";"-353.709";"205.757";"1.55579e-307";
"-703.662";"1661.13";"408.042";"204.021";"-99.326";"-351.831";"200.997";"1.55579e-307";
"-701.625";"1662.67";"390.914";"195.457";"-97.3544";"-350.812";"196.386";"1.55579e-307";
"-699.938";"1663.82";"373.62";"186.81";"-95.3488";"-349.969";"191.942";"1.55579e-307";
"-699.201";"1664.55";"356.171";"178.086";"-93.3159";"-349.601";"187.715";"1.55579e-307";
"-700.318";"1665.38";"333.946";"166.973";"-91.243";"-350.159";"183.668";"1.55579e-307";
"-701.999";"1664.93";"316.395";"158.197";"-89.117";"-351";"179.859";"1.55579e-307";
"-704.986";"1663.9";"298.631";"149.316";"-86.9481";"-352.493";"176.248";"1.55579e-307";
"-710.232";"1663.03";"276.074";"138.037";"-84.7347";"-355.116";"172.84";"1.55579e-307";
"-715.042";"1662.23";"258.587";"129.293";"-82.4664";"-357.521";"169.697";"1.55579e-307";
"-721.203";"1661.14";"240.77";"120.385";"-80.1557";"-360.601";"166.767";"1.55579e-307";
"-730.333";"1660.17";"218.322";"109.161";"-77.8019";"-365.167";"164.054";"1.55579e-307";
"-738.6";"1658.91";"200.683";"100.342";"-75.3862";"-369.3";"161.578";"1.55579e-307";
"-750.124";"1657.03";"178.537";"89.2684";"-72.9424";"-375.062";"159.371";"1.55579e-307";
"-760.473";"1655.87";"160.716";"80.3578";"-70.4402";"-380.237";"157.408";"1.55579e-307";
"-774.274";"1653.52";"138.828";"69.4142";"-67.9146";"-387.137";"155.716";"1.55579e-307";
"-786.1";"1652.09";"121.557";"60.7784";"-65.337";"-393.05";"154.269";"1.55579e-307";
"-801.284";"1650.13";"100.087";"50.0434";"-62.7308";"-400.642";"153.051";"1.55579e-307";
"-814.343";"1649.61";"83.1102";"41.5551";"-60.091";"-407.171";"152.114";"1.55579e-307";
"-831.229";"1649.32";"62.4546";"31.2273";"-57.4283";"-415.615";"151.399";"1.55579e-307";
"-844.865";"1649.28";"46.5104";"23.2552";"-54.7405";"-422.433";"150.958";"1.55579e-307";
"-859.1";"1650.3";"30.779";"15.3895";"-52.0378";"-429.55";"150.729";"1.55579e-307";
"-876.979";"1652.56";"11.9551";"5.97756";"-49.3382";"-438.489";"150.74";"1.55579e-307";
"-891.096";"1654.93";"-2.65585";"-1.32793";"-46.613";"-445.548";"150.973";"1.55579e-307";
"-908.778";"1659.1";"-20.4223";"-10.2112";"-43.9036";"-454.389";"151.427";"1.55579e-307";
"-922.598";"1661.94";"-34.3994";"-17.1997";"-41.1784";"-461.299";"152.084";"1.55579e-307";
"-936.131";"1664.91";"-47.7084";"-23.8542";"-38.4571";"-468.065";"152.914";"1.55579e-307";
"-949.445";"1667.98";"-60.6635";"-30.3317";"-35.7451";"-474.723";"153.909";"1.55579e-307";
"-965.518";"1671.31";"-76.7781";"-38.3891";"-33.0459";"-482.759";"155.06";"1.55579e-307";
"-977.542";"1673.64";"-89.1803";"-44.5901";"-30.3459";"-488.771";"156.377";"1.55579e-307";
"-989.148";"1675.43";"-100.847";"-50.4234";"-27.6827";"-494.574";"157.845";"1.55579e-307";
"-999.602";"1677.19";"-112.244";"-56.1219";"-25.0419";"-499.801";"159.434";"1.55579e-307";
